Date,Year,Month,Day,DayOfWeek,MH_171C_MWh,MH_171DP1_MWh,MH_171DP2_MWh,MH_431_MWh,Primary_Energy_MWh,Specific_Yield_Psh
2020-12-01,2020,12,1,Tuesday,,,,,,
2020-12-02,2020,12,2,Wednesday,,,,,,
2020-12-03,2020,12,3,Thursday,,,,,,
2020-12-04,2020,12,4,Friday,,,,,,
2020-12-05,2020,12,5,Saturday,,,,,,
2020-12-06,2020,12,6,Sunday,,,,,,
2020-12-07,2020,12,7,Monday,,,,,,
2020-12-08,2020,12,8,Tuesday,,,,,,
2020-12-09,2020,12,9,Wednesday,,,,,,
2020-12-10,2020,12,10,Thursday,,,,,,
2020-12-11,2020,12,11,Friday,3.96,3.97,3.99,4.07,3.96,0.079
2020-12-12,2020,12,12,Saturday,114.82,115.05,115.55,116.23,114.82,2.296
2020-12-13,2020,12,13,Sunday,98.75,98.97,99.48,100.13,98.75,1.975
2020-12-14,2020,12,14,Monday,103.74,104.0,104.55,105.25,103.74,2.075
2020-12-15,2020,12,15,Tuesday,166.37,166.71,167.51,168.46,166.37,3.327
2020-12-16,2020,12,16,Wednesday,105.12,105.31,105.65,106.28,105.12,2.102
2020-12-17,2020,12,17,Thursday,132.6,132.85,133.33,134.1,132.6,2.652
2020-12-18,2020,12,18,Friday,90.63,90.8,91.06,91.64,90.63,1.813
2020-12-19,2020,12,19,Saturday,35.31,35.37,35.44,35.8,35.31,0.706
2020-12-20,2020,12,20,Sunday,37.33,37.4,37.46,37.82,37.33,0.747
2020-12-21,2020,12,21,Monday,67.45,67.54,67.72,68.23,67.45,1.349
2020-12-22,2020,12,22,Tuesday,119.89,120.1,120.44,121.12,119.89,2.398
2020-12-23,2020,12,23,Wednesday,114.92,115.12,115.46,116.14,114.92,2.298
2020-12-24,2020,12,24,Thursday,103.31,103.49,103.81,104.45,103.31,2.066
2020-12-25,2020,12,25,Friday,85.08,85.23,85.44,85.99,85.08,1.702
2020-12-26,2020,12,26,Saturday,122.34,122.55,122.97,123.72,122.34,2.447
2020-12-27,2020,12,27,Sunday,143.53,143.78,144.3,145.15,143.53,2.871
2020-12-28,2020,12,28,Monday,174.89,175.19,175.89,176.92,174.89,3.498
2020-12-29,2020,12,29,Tuesday,217.14,217.52,218.59,219.89,217.14,4.343
2020-12-30,2020,12,30,Wednesday,134.89,135.12,135.6,136.42,134.89,2.698
2020-12-31,2020,12,31,Thursday,,,,,,
2021-01-01,2021,1,1,Friday,20.74,20.77,20.8,20.98,20.74,0.415
2021-01-02,2021,1,2,Saturday,47.92,47.99,48.09,48.43,47.92,0.958
2021-01-03,2021,1,3,Sunday,68.41,68.53,68.65,69.14,68.41,1.368
2021-01-04,2021,1,4,Monday,32.39,32.45,32.5,32.86,32.39,0.648
2021-01-05,2021,1,5,Tuesday,96.8,96.96,97.23,97.86,96.8,1.936
2021-01-06,2021,1,6,Wednesday,61.53,61.64,61.79,62.27,61.53,1.231
2021-01-07,2021,1,7,Thursday,165.56,165.84,166.57,167.59,165.56,3.311
2021-01-08,2021,1,8,Friday,80.38,80.52,80.75,81.32,80.38,1.608
2021-01-09,2021,1,9,Saturday,152.48,152.73,153.37,154.3,152.48,3.05
2021-01-10,2021,1,10,Sunday,111.37,111.55,111.87,112.55,111.37,2.227
2021-01-11,2021,1,11,Monday,127.36,127.56,127.97,128.73,127.36,2.547
2021-01-12,2021,1,12,Tuesday,85.76,85.89,86.07,86.64,85.76,1.715
2021-01-13,2021,1,13,Wednesday,67.33,67.44,67.55,68.03,67.33,1.347
2021-01-14,2021,1,14,Thursday,140.6,140.82,141.33,142.2,140.6,2.812
2021-01-15,2021,1,15,Friday,179.08,179.37,180.07,181.11,179.08,3.582
2021-01-16,2021,1,16,Saturday,221.81,222.18,223.21,224.53,221.81,4.436
2021-01-17,2021,1,17,Sunday,120.95,121.16,121.56,122.3,120.95,2.419
2021-01-18,2021,1,18,Monday,155.85,156.11,156.68,157.6,155.85,3.117
2021-01-19,2021,1,19,Tuesday,67.93,68.05,68.15,68.64,67.93,1.359
2021-01-20,2021,1,20,Wednesday,97.98,98.15,98.38,99.01,97.98,1.96
2021-01-21,2021,1,21,Thursday,142.88,143.14,143.7,144.57,142.88,2.858
2021-01-22,2021,1,22,Friday,197.97,198.31,199.31,200.56,197.97,3.959
2021-01-23,2021,1,23,Saturday,152.04,152.3,152.82,153.72,152.04,3.041
2021-01-24,2021,1,24,Sunday,193.22,193.55,194.45,195.6,193.22,3.864
2021-01-25,2021,1,25,Monday,233.89,234.27,235.43,236.82,233.89,4.678
2021-01-26,2021,1,26,Tuesday,210.07,210.42,211.39,212.63,210.07,4.201
2021-01-27,2021,1,27,Wednesday,81.18,81.32,81.55,82.1,81.18,1.624
2021-01-28,2021,1,28,Thursday,148.06,148.31,148.87,149.76,148.06,2.961
2021-01-29,2021,1,29,Friday,150.62,150.87,151.39,152.28,150.62,3.012
2021-01-30,2021,1,30,Saturday,151.06,151.32,151.85,152.73,151.06,3.021
2021-01-31,2021,1,31,Sunday,151.99,152.25,152.76,153.64,151.99,3.04
2021-02-01,2021,2,1,Monday,189.0,189.32,190.06,191.13,189.0,3.78
2021-02-02,2021,2,2,Tuesday,178.09,178.41,179.11,180.13,178.09,3.562
2021-02-03,2021,2,3,Wednesday,157.52,157.81,158.3,159.21,157.52,3.15
2021-02-04,2021,2,4,Thursday,179.81,180.12,180.82,181.87,179.81,3.596
2021-02-05,2021,2,5,Friday,196.5,196.84,197.77,198.94,196.5,3.93
2021-02-06,2021,2,6,Saturday,129.31,129.52,129.92,130.69,129.31,2.586
2021-02-07,2021,2,7,Sunday,153.33,153.6,154.1,155.0,153.33,3.067
2021-02-08,2021,2,8,Monday,204.65,205.0,205.92,207.13,204.65,4.093
2021-02-09,2021,2,9,Tuesday,105.06,105.23,105.52,106.18,105.06,2.101
2021-02-10,2021,2,10,Wednesday,77.33,77.46,77.63,78.16,77.33,1.547
2021-02-11,2021,2,11,Thursday,173.87,174.12,174.82,175.86,173.87,3.477
2021-02-12,2021,2,12,Friday,122.4,122.54,122.97,123.76,122.4,2.448
2021-02-13,2021,2,13,Saturday,101.3,101.45,101.69,102.34,101.3,2.026
2021-02-14,2021,2,14,Sunday,125.84,125.97,126.43,127.29,125.84,2.517
2021-02-15,2021,2,15,Monday,134.53,134.69,135.12,135.98,134.53,2.691
2021-02-16,2021,2,16,Tuesday,170.64,170.84,171.59,172.68,170.64,3.413
2021-02-17,2021,2,17,Wednesday,216.82,217.15,218.07,219.36,216.82,4.336
2021-02-18,2021,2,18,Thursday,190.97,191.3,192.07,193.17,190.97,3.819
