Thời gian,Bức xạ (W/m2),Nhiệt độ môi trường (°C),Nhiệt độ tấm pin (°C),Tốc độ gió (m/s)
2026-08-27 00:00:00,0.0,24.0,24.0,3.7
2026-08-27 00:01:00,0.0,24.1,24.1,1.7
2026-08-27 00:02:00,0.0,24.4,24.4,2.4
2026-08-27 00:03:00,0.0,23.7,23.7,2.6
2026-08-27 00:04:00,0.0,24.3,24.3,2.7
2026-08-27 00:05:00,0.0,24.1,24.1,1.4
2026-08-27 00:06:00,0.0,24.4,24.4,2.5
2026-08-27 00:07:00,0.0,23.6,23.6,1.8
2026-08-27 00:08:00,0.0,24.0,24.0,2.1
2026-08-27 00:09:00,0.0,23.8,23.8,3.0
2026-08-27 00:10:00,0.0,23.8,23.8,1.8
2026-08-27 00:11:00,0.0,24.0,24.0,2.1
2026-08-27 00:12:00,0.0,24.0,24.0,1.4
2026-08-27 00:13:00,0.0,24.6,24.6,2.7
2026-08-27 00:14:00,0.0,24.1,24.1,1.5
2026-08-27 00:15:00,0.0,23.9,23.9,1.8
2026-08-27 00:16:00,0.0,24.1,24.1,2.1
2026-08-27 00:17:00,0.0,24.3,24.3,2.0
2026-08-27 00:18:00,0.0,23.8,23.8,1.5
2026-08-27 00:19:00,0.0,24.0,24.0,2.6
2026-08-27 00:20:00,0.0,24.0,24.0,1.7
2026-08-27 00:21:00,0.0,24.2,24.2,1.0
2026-08-27 00:22:00,0.0,23.9,23.9,3.0
2026-08-27 00:23:00,0.0,23.7,23.7,1.1
2026-08-27 00:24:00,0.0,24.1,24.1,3.6
2026-08-27 00:25:00,0.0,23.8,23.8,1.9
2026-08-27 00:26:00,0.0,24.0,24.0,2.4
2026-08-27 00:27:00,0.0,23.9,23.9,1.3
2026-08-27 00:28:00,0.0,23.9,23.9,3.1
2026-08-27 00:29:00,0.0,24.0,24.0,1.8
2026-08-27 00:30:00,0.0,24.0,24.0,2.2
2026-08-27 00:31:00,0.0,24.0,24.0,1.6
2026-08-27 00:32:00,0.0,23.9,23.9,2.5
2026-08-27 00:33:00,0.0,24.2,24.2,1.7
2026-08-27 00:34:00,0.0,23.8,23.8,1.4
2026-08-27 00:35:00,0.0,23.9,23.9,1.4
2026-08-27 00:36:00,0.0,24.2,24.2,1.6
2026-08-27 00:37:00,0.0,23.9,23.9,1.2
2026-08-27 00:38:00,0.0,24.0,24.0,1.7
2026-08-27 00:39:00,0.0,23.7,23.7,1.8
2026-08-27 00:40:00,0.0,24.4,24.4,1.3
2026-08-27 00:41:00,0.0,24.1,24.1,2.3
2026-08-27 00:42:00,0.0,24.1,24.1,1.8
2026-08-27 00:43:00,0.0,24.2,24.2,2.1
2026-08-27 00:44:00,0.0,24.0,24.0,1.8
2026-08-27 00:45:00,0.0,24.3,24.3,2.2
2026-08-27 00:46:00,0.0,24.1,24.1,1.8
2026-08-27 00:47:00,0.0,24.4,24.4,1.5
2026-08-27 00:48:00,0.0,23.5,23.5,2.4
2026-08-27 00:49:00,0.0,23.7,23.7,2.4
2026-08-27 00:50:00,0.0,24.5,24.5,2.3
2026-08-27 00:51:00,0.0,24.2,24.2,2.7
2026-08-27 00:52:00,0.0,23.8,23.8,2.1
2026-08-27 00:53:00,0.0,23.8,23.8,1.8
2026-08-27 00:54:00,0.0,24.2,24.2,2.4
2026-08-27 00:55:00,0.0,24.0,24.0,1.5
