WEATHER STATION;PLANT;;;;STATION-02-;WEATHER STAT;ION;;;;;;;STATION-06-;WEATHER STAT;ION;;;;
Parameter;PERFORMANCE;WIND DIRECTION;WIND SPEED;GHI-01 IRRADIANCE;GHI-02 IRRADIANCE;AIR PRESSURE;AIR TEMPERATURE;HUMIDITY;RAIN;PV TEMPERATURE;WIND DIRECTION;WIND SPEED;GHI-01 IRRADIANCE;GHI-02 IRRADIANCE;AIR PRESSURE;AIR TEMPERATURE;HUMIDITY;RAIN;PV TEMPERATURE;
;(%);(deg);(m/s);(W/m2);(W/m2);(mBar);(oC);(%);(mm);(oC);(deg);(m/s);(W/m2);(W/m2);(mBar);(oC);(%);(mm);(oC);
26/08/26 00:00;0.000;0.000;2.34;-0.002;0.007;1076.410;25.465;70.324;0.000;25.465;263.528;2.744;0.04;0.028;1076.410;25.401;70.188;0.000;25.401;
26/08/26 00:01;0.000;0.000;2.534;-0.017;0.044;1076.410;25.432;70.324;0.000;25.432;263.528;2.223;0.017;0.034;1076.410;25.278;70.188;0.000;25.278;
26/08/26 00:02;0.000;0.000;3.069;0.049;0.018;1076.410;25.562;70.324;0.000;25.562;263.528;2.473;-0.041;0.016;1076.410;25.624;70.188;0.000;25.624;
26/08/26 00:03;0.000;0.000;2.291;-0.002;0.019;1076.410;25.644;70.324;0.000;25.644;263.528;1.68;0.002;-0.002;1076.410;25.382;70.188;0.000;25.382;
26/08/26 00:04;0.000;0.000;2.658;-0.023;-0.021;1076.410;25.302;70.324;0.000;25.302;263.528;2.097;0.006;0.006;1076.410;25.219;70.188;0.000;25.219;
26/08/26 00:05;0.000;0.000;2.899;0.047;-0.032;1076.410;25.659;70.324;0.000;25.659;263.528;2.891;0.022;0.034;1076.410;25.362;70.188;0.000;25.362;
26/08/26 00:06;0.000;0.000;2.68;-0.049;-0.043;1076.410;25.576;70.324;0.000;25.576;263.528;2.952;-0.047;-0.023;1076.410;25.306;70.188;0.000;25.306;
26/08/26 00:07;0.000;0.000;2.928;0.023;-0.035;1076.410;25.491;70.324;0.000;25.491;263.528;1.215;0.034;-0.018;1076.410;25.456;70.188;0.000;25.456;
26/08/26 00:08;0.000;0.000;3.053;-0.021;0.045;1076.410;25.503;70.324;0.000;25.503;263.528;1.458;-0.009;0.003;1076.410;25.399;70.188;0.000;25.399;
26/08/26 00:09;0.000;0.000;3.102;0.011;0.002;1076.410;25.564;70.324;0.000;25.564;263.528;1.908;0.012;-0.044;1076.410;25.482;70.188;0.000;25.482;
26/08/26 00:10;0.000;0.000;1.576;0.034;0.029;1076.410;25.305;70.324;0.000;25.305;263.528;2.268;0.028;0.025;1076.410;25.569;70.188;0.000;25.569;
26/08/26 00:11;0.000;0.000;1.968;0.01;-0.042;1076.410;25.437;70.324;0.000;25.437;263.528;2.377;-0.041;0.002;1076.410;25.333;70.188;0.000;25.333;
26/08/26 00:12;0.000;0.000;2.685;0.004;-0.036;1076.410;25.539;70.324;0.000;25.539;263.528;2.54;-0.002;0.024;1076.410;25.53;70.188;0.000;25.53;
26/08/26 00:13;0.000;0.000;2.342;-0.031;-0.007;1076.410;25.53;70.324;0.000;25.53;263.528;2.008;0.002;-0.032;1076.410;25.487;70.188;0.000;25.487;
26/08/26 00:14;0.000;0.000;1.238;-0.002;0.023;1076.410;25.519;70.324;0.000;25.519;263.528;1.537;0.008;-0.039;1076.410;25.228;70.188;0.000;25.228;
26/08/26 00:15;0.000;0.000;2.858;0.0;0.024;1076.410;25.579;70.324;0.000;25.579;263.528;2.441;-0.003;-0.035;1076.410;25.167;70.188;0.000;25.167;
26/08/26 00:16;0.000;0.000;2.34;0.039;0.001;1076.410;25.478;70.324;0.000;25.478;263.528;2.022;0.011;0.005;1076.410;25.183;70.188;0.000;25.183;
26/08/26 00:17;0.000;0.000;1.862;-0.012;0.039;1076.410;25.565;70.324;0.000;25.565;263.528;2.454;0.001;-0.043;1076.410;25.42;70.188;0.000;25.42;
26/08/26 00:18;0.000;0.000;2.671;0.04;0.022;1076.410;25.486;70.324;0.000;25.486;263.528;2.171;0.022;0.021;1076.410;25.359;70.188;0.000;25.359;
26/08/26 00:19;0.000;0.000;2.782;0.004;0.007;1076.410;25.404;70.324;0.000;25.404;263.528;2.104;-0.032;0.007;1076.410;25.63;70.188;0.000;25.63;
26/08/26 00:20;0.000;0.000;1.85;-0.039;0.049;1076.410;25.517;70.324;0.000;25.517;263.528;1.842;-0.037;0.005;1076.410;25.514;70.188;0.000;25.514;
26/08/26 00:21;0.000;0.000;1.871;-0.03;0.008;1076.410;25.412;70.324;0.000;25.412;263.528;2.225;0.031;0.017;1076.410;25.566;70.188;0.000;25.566;
26/08/26 00:22;0.000;0.000;3.111;0.046;-0.046;1076.410;25.515;70.324;0.000;25.515;263.528;1.742;0.013;0.034;1076.410;25.389;70.188;0.000;25.389;
26/08/26 00:23;0.000;0.000;2.214;0.045;0.045;1076.410;25.534;70.324;0.000;25.534;263.528;2.302;0.033;0.044;1076.410;25.431;70.188;0.000;25.431;
26/08/26 00:24;0.000;0.000;1.619;-0.021;0.009;1076.410;25.486;70.324;0.000;25.486;263.528;2.086;-0.013;0.038;1076.410;25.553;70.188;0.000;25.553;
26/08/26 00:25;0.000;0.000;2.607;-0.035;0.016;1076.410;25.447;70.324;0.000;25.447;263.528;2.55;0.007;0.002;1076.410;25.262;70.188;0.000;25.262;
26/08/26 00:26;0.000;0.000;2.522;-0.002;-0.045;1076.410;25.612;70.324;0.000;25.612;263.528;2.911;-0.039;-0.041;1076.410;25.492;70.188;0.000;25.492;
26/08/26 00:27;0.000;0.000;2.194;-0.006;0.026;1076.410;25.396;70.324;0.000;25.396;263.528;2.067;0.017;-0.03;1076.410;25.501;70.188;0.000;25.501;
26/08/26 00:28;0.000;0.000;3.685;-0.026;-0.024;1076.410;25.338;70.324;0.000;25.338;263.528;2.317;-0.042;-0.034;1076.410;25.197;70.188;0.000;25.197;
26/08/26 00:29;0.000;0.000;2.66;0.025;-0.02;1076.410;25.561;70.324;0.000;25.561;263.528;1.513;-0.03;-0.015;1076.410;25.406;70.188;0.000;25.406;
26/08/26 00:30;0.000;0.000;1.242;0.022;0.045;1076.410;25.594;70.324;0.000;25.594;263.528;2.191;0.013;0.035;1076.410;25.451;70.188;0.000;25.451;
26/08/26 00:31;0.000;0.000;2.634;-0.004;-0.038;1076.410;25.62;70.324;0.000;25.62;263.528;2.186;-0.019;0.03;1076.410;25.397;70.188;0.000;25.397;
26/08/26 00:32;0.000;0.000;2.356;0.04;-0.002;1076.410;25.499;70.324;0.000;25.499;263.528;3.166;-0.034;0.02;1076.410;25.592;70.188;0.000;25.592;
26/08/26 00:33;0.000;0.000;2.614;0.049;0.041;1076.410;25.512;70.324;0.000;25.512;263.528;1.928;0.013;-0.04;1076.410;25.586;70.188;0.000;25.586;
26/08/26 00:34;0.000;0.000;2.07;0.049;-0.009;1076.410;25.421;70.324;0.000;25.421;263.528;1.738;-0.024;0.048;1076.410;25.358;70.188;0.000;25.358;
26/08/26 00:35;0.000;0.000;3.019;-0.048;-0.046;1076.410;25.391;70.324;0.000;25.391;263.528;3.207;-0.009;-0.05;1076.410;25.579;70.188;0.000;25.579;
26/08/26 00:36;0.000;0.000;1.907;-0.043;-0.045;1076.410;25.503;70.324;0.000;25.503;263.528;3.265;-0.011;-0.043;1076.410;25.474;70.188;0.000;25.474;
26/08/26 00:37;0.000;0.000;1.397;0.04;0.017;1076.410;25.46;70.324;0.000;25.46;263.528;2.322;0.001;-0.025;1076.410;25.377;70.188;0.000;25.377;
26/08/26 00:38;0.000;0.000;2.556;-0.0;-0.012;1076.410;25.64;70.324;0.000;25.64;263.528;2.869;0.016;0.022;1076.410;25.352;70.188;0.000;25.352;
26/08/26 00:39;0.000;0.000;1.804;-0.013;-0.043;1076.410;25.39;70.324;0.000;25.39;263.528;2.891;-0.01;-0.048;1076.410;25.284;70.188;0.000;25.284;
26/08/26 00:40;0.000;0.000;2.575;0.012;0.041;1076.410;25.414;70.324;0.000;25.414;263.528;2.966;0.012;0.003;1076.410;25.487;70.188;0.000;25.487;
26/08/26 00:41;0.000;0.000;2.718;-0.028;0.02;1076.410;25.566;70.324;0.000;25.566;263.528;2.963;-0.037;-0.022;1076.410;25.419;70.188;0.000;25.419;
26/08/26 00:42;0.000;0.000;2.527;-0.04;0.038;1076.410;25.38;70.324;0.000;25.38;263.528;2.714;0.029;-0.043;1076.410;25.472;70.188;0.000;25.472;
26/08/26 00:43;0.000;0.000;2.788;0.037;-0.01;1076.410;25.393;70.324;0.000;25.393;263.528;2.82;-0.008;0.014;1076.410;25.416;70.188;0.000;25.416;
26/08/26 00:44;0.000;0.000;2.079;-0.011;-0.037;1076.410;25.519;70.324;0.000;25.519;263.528;2.163;0.006;0.024;1076.410;25.393;70.188;0.000;25.393;
26/08/26 00:45;0.000;0.000;2.035;0.005;0.008;1076.410;25.522;70.324;0.000;25.522;263.528;2.391;-0.032;0.046;1076.410;25.413;70.188;0.000;25.413;
26/08/26 00:46;0.000;0.000;1.962;-0.028;-0.003;1076.410;25.641;70.324;0.000;25.641;263.528;1.596;-0.009;0.041;1076.410;25.281;70.188;0.000;25.281;
26/08/26 00:47;0.000;0.000;2.174;0.047;0.009;1076.410;25.52;70.324;0.000;25.52;263.528;2.709;-0.018;0.008;1076.410;25.407;70.188;0.000;25.407;
26/08/26 00:48;0.000;0.000;3.18;0.044;-0.014;1076.410;25.425;70.324;0.000;25.425;263.528;1.396;-0.039;0.005;1076.410;25.378;70.188;0.000;25.378;
26/08/26 00:49;0.000;0.000;1.741;-0.048;0.005;1076.410;25.484;70.324;0.000;25.484;263.528;1.596;-0.048;-0.005;1076.410;25.473;70.188;0.000;25.473;
26/08/26 00:50;0.000;0.000;2.222;0.013;-0.037;1076.410;25.487;70.324;0.000;25.487;263.528;2.861;0.016;0.002;1076.410;25.438;70.188;0.000;25.438;
26/08/26 00:51;0.000;0.000;2.772;-0.046;-0.042;1076.410;25.334;70.324;0.000;25.334;263.528;1.69;0.024;0.016;1076.410;25.377;70.188;0.000;25.377;
26/08/26 00:52;0.000;0.000;1.913;0.034;-0.018;1076.410;25.488;70.324;0.000;25.488;263.528;2.276;0.013;-0.039;1076.410;25.559;70.188;0.000;25.559;
26/08/26 00:53;0.000;0.000;3.327;-0.01;-0.032;1076.410;25.537;70.324;0.000;25.537;263.528;1.993;-0.034;-0.006;1076.410;25.37;70.188;0.000;25.37;
26/08/26 00:54;0.000;0.000;2.32;0.035;-0.025;1076.410;25.36;70.324;0.000;25.36;263.528;2.487;0.029;-0.03;1076.410;25.558;70.188;0.000;25.558;
26/08/26 00:55;0.000;0.000;2.39;-0.006;0.0;1076.410;25.648;70.324;0.000;25.648;263.528;2.682;-0.042;0.037;1076.410;25.329;70.188;0.000;25.329;
26/08/26 00:56;0.000;0.000;3.043;-0.001;-0.005;1076.410;25.416;70.324;0.000;25.416;263.528;2.388;0.011;0.019;1076.410;25.473;70.188;0.000;25.473;
26/08/26 00:57;0.000;0.000;3.139;-0.045;-0.047;1076.410;25.358;70.324;0.000;25.358;263.528;2.113;0.007;0.018;1076.410;25.454;70.188;0.000;25.454;
26/08/26 00:58;0.000;0.000;2.491;-0.038;-0.016;1076.410;25.445;70.324;0.000;25.445;263.528;2.083;-0.033;-0.012;1076.410;25.398;70.188;0.000;25.398;
26/08/26 00:59;0.000;0.000;1.648;-0.041;-0.032;1076.410;25.522;70.324;0.000;25.522;263.528;2.269;-0.005;0.041;1076.410;25.375;70.188;0.000;25.375;
26/08/26 01:00;0.000;0.000;2.496;-0.031;0.03;1076.410;25.467;70.324;0.000;25.467;263.528;1.509;0.002;0.009;1076.410;25.305;70.188;0.000;25.305;
26/08/26 01:01;0.000;0.000;1.684;-0.002;-0.028;1076.410;25.502;70.324;0.000;25.502;263.528;1.639;-0.049;0.047;1076.410;25.406;70.188;0.000;25.406;
26/08/26 01:02;0.000;0.000;2.593;0.024;-0.02;1076.410;25.494;70.324;0.000;25.494;263.528;2.227;-0.03;0.03;1076.410;25.458;70.188;0.000;25.458;
26/08/26 01:03;0.000;0.000;2.679;0.033;0.0;1076.410;25.548;70.324;0.000;25.548;263.528;2.479;0.003;0.039;1076.410;25.183;70.188;0.000;25.183;
26/08/26 01:04;0.000;0.000;2.306;-0.016;0.017;1076.410;25.62;70.324;0.000;25.62;263.528;2.14;0.046;-0.026;1076.410;25.451;70.188;0.000;25.451;
26/08/26 01:05;0.000;0.000;2.364;-0.023;0.037;1076.410;25.445;70.324;0.000;25.445;263.528;1.701;-0.012;0.043;1076.410;25.326;70.188;0.000;25.326;
26/08/26 01:06;0.000;0.000;3.083;-0.013;0.0;1076.410;25.534;70.324;0.000;25.534;263.528;1.854;-0.026;-0.042;1076.410;25.435;70.188;0.000;25.435;
26/08/26 01:07;0.000;0.000;2.281;0.019;0.031;1076.410;25.479;70.324;0.000;25.479;263.528;2.458;0.003;-0.003;1076.410;25.419;70.188;0.000;25.419;
26/08/26 01:08;0.000;0.000;3.031;-0.001;0.008;1076.410;25.516;70.324;0.000;25.516;263.528;1.629;0.008;0.016;1076.410;25.388;70.188;0.000;25.388;
26/08/26 01:09;0.000;0.000;2.249;0.015;0.036;1076.410;25.34;70.324;0.000;25.34;263.528;2.662;0.04;0.027;1076.410;25.505;70.188;0.000;25.505;
26/08/26 01:10;0.000;0.000;2.725;-0.039;-0.002;1076.410;25.547;70.324;0.000;25.547;263.528;2.626;-0.042;0.039;1076.410;25.408;70.188;0.000;25.408;
26/08/26 01:11;0.000;0.000;2.872;0.005;-0.033;1076.410;25.331;70.324;0.000;25.331;263.528;2.146;0.008;-0.012;1076.410;25.576;70.188;0.000;25.576;
26/08/26 01:12;0.000;0.000;1.843;-0.003;-0.049;1076.410;25.533;70.324;0.000;25.533;263.528;1.837;0.048;0.022;1076.410;25.531;70.188;0.000;25.531;
26/08/26 01:13;0.000;0.000;1.874;-0.021;0.039;1076.410;25.505;70.324;0.000;25.505;263.528;2.484;-0.002;0.001;1076.410;25.12;70.188;0.000;25.12;
26/08/26 01:14;0.000;0.000;2.376;-0.016;-0.005;1076.410;25.496;70.324;0.000;25.496;263.528;1.887;-0.04;-0.034;1076.410;25.337;70.188;0.000;25.337;
26/08/26 01:15;0.000;0.000;2.857;0.038;-0.026;1076.410;25.513;70.324;0.000;25.513;263.528;2.681;-0.048;0.042;1076.410;25.352;70.188;0.000;25.352;
26/08/26 01:16;0.000;0.000;2.366;-0.027;-0.033;1076.410;25.365;70.324;0.000;25.365;263.528;2.275;-0.028;0.001;1076.410;25.396;70.188;0.000;25.396;
26/08/26 01:17;0.000;0.000;2.078;0.022;-0.02;1076.410;25.366;70.324;0.000;25.366;263.528;2.506;0.023;0.042;1076.410;25.271;70.188;0.000;25.271;
26/08/26 01:18;0.000;0.000;2.904;0.03;-0.024;1076.410;25.419;70.324;0.000;25.419;263.528;2.342;0.033;0.015;1076.410;25.425;70.188;0.000;25.425;
26/08/26 01:19;0.000;0.000;3.35;0.008;0.041;1076.410;25.591;70.324;0.000;25.591;263.528;2.103;0.009;0.042;1076.410;25.36;70.188;0.000;25.36;
26/08/26 01:20;0.000;0.000;2.461;0.016;0.009;1076.410;25.333;70.324;0.000;25.333;263.528;2.303;-0.039;-0.015;1076.410;25.338;70.188;0.000;25.338;
26/08/26 01:21;0.000;0.000;2.535;-0.026;-0.035;1076.410;25.372;70.324;0.000;25.372;263.528;2.517;-0.023;0.039;1076.410;25.422;70.188;0.000;25.422;
26/08/26 01:22;0.000;0.000;2.078;0.004;-0.004;1076.410;25.368;70.324;0.000;25.368;263.528;1.874;-0.04;-0.027;1076.410;25.258;70.188;0.000;25.258;
26/08/26 01:23;0.000;0.000;2.651;-0.041;0.026;1076.410;25.442;70.324;0.000;25.442;263.528;2.363;-0.035;0.041;1076.410;25.357;70.188;0.000;25.357;
26/08/26 01:24;0.000;0.000;1.883;-0.036;0.03;1076.410;25.49;70.324;0.000;25.49;263.528;1.525;0.027;0.017;1076.410;25.227;70.188;0.000;25.227;
26/08/26 01:25;0.000;0.000;1.515;0.012;0.046;1076.410;25.543;70.324;0.000;25.543;263.528;2.427;-0.038;0.029;1076.410;25.279;70.188;0.000;25.279;
26/08/26 01:26;0.000;0.000;2.232;-0.015;0.045;1076.410;25.371;70.324;0.000;25.371;263.528;1.669;0.001;0.029;1076.410;25.25;70.188;0.000;25.25;
26/08/26 01:27;0.000;0.000;2.815;-0.046;0.014;1076.410;25.62;70.324;0.000;25.62;263.528;1.55;-0.049;0.045;1076.410;25.406;70.188;0.000;25.406;
26/08/26 01:28;0.000;0.000;2.005;0.026;-0.04;1076.410;25.497;70.324;0.000;25.497;263.528;2.726;0.047;0.046;1076.410;25.414;70.188;0.000;25.414;
26/08/26 01:29;0.000;0.000;1.991;0.047;0.031;1076.410;25.586;70.324;0.000;25.586;263.528;1.662;0.009;0.021;1076.410;25.411;70.188;0.000;25.411;
26/08/26 01:30;0.000;0.000;2.739;-0.039;-0.048;1076.410;25.493;70.324;0.000;25.493;263.528;2.228;-0.048;0.025;1076.410;25.385;70.188;0.000;25.385;
26/08/26 01:31;0.000;0.000;2.434;0.01;-0.021;1076.410;25.343;70.324;0.000;25.343;263.528;2.166;-0.014;0.006;1076.410;25.309;70.188;0.000;25.309;
26/08/26 01:32;0.000;0.000;1.871;0.011;-0.037;1076.410;25.286;70.324;0.000;25.286;263.528;2.114;-0.022;0.036;1076.410;25.454;70.188;0.000;25.454;
26/08/26 01:33;0.000;0.000;1.646;-0.005;-0.004;1076.410;25.644;70.324;0.000;25.644;263.528;2.737;-0.006;0.003;1076.410;25.433;70.188;0.000;25.433;
26/08/26 01:34;0.000;0.000;2.623;-0.04;0.001;1076.410;25.462;70.324;0.000;25.462;263.528;2.001;-0.022;0.043;1076.410;25.408;70.188;0.000;25.408;
26/08/26 01:35;0.000;0.000;1.766;-0.042;-0.003;1076.410;25.611;70.324;0.000;25.611;263.528;3.427;-0.014;-0.028;1076.410;25.255;70.188;0.000;25.255;
26/08/26 01:36;0.000;0.000;2.593;0.007;0.023;1076.410;25.555;70.324;0.000;25.555;263.528;2.425;-0.032;0.038;1076.410;25.324;70.188;0.000;25.324;
26/08/26 01:37;0.000;0.000;1.926;-0.029;0.02;1076.410;25.577;70.324;0.000;25.577;263.528;2.63;-0.02;0.016;1076.410;25.301;70.188;0.000;25.301;
26/08/26 01:38;0.000;0.000;1.462;-0.01;0.024;1076.410;25.681;70.324;0.000;25.681;263.528;1.511;-0.009;0.012;1076.410;25.413;70.188;0.000;25.413;
26/08/26 01:39;0.000;0.000;2.804;-0.024;-0.036;1076.410;25.535;70.324;0.000;25.535;263.528;1.96;-0.02;0.02;1076.410;25.488;70.188;0.000;25.488;
26/08/26 01:40;0.000;0.000;2.678;0.01;0.011;1076.410;25.386;70.324;0.000;25.386;263.528;2.61;0.006;-0.005;1076.410;25.408;70.188;0.000;25.408;
26/08/26 01:41;0.000;0.000;3.012;-0.021;0.009;1076.410;25.354;70.324;0.000;25.354;263.528;2.034;-0.039;0.027;1076.410;25.404;70.188;0.000;25.404;
26/08/26 01:42;0.000;0.000;2.66;-0.027;0.048;1076.410;25.564;70.324;0.000;25.564;263.528;2.705;-0.002;-0.02;1076.410;25.491;70.188;0.000;25.491;
26/08/26 01:43;0.000;0.000;1.859;-0.035;-0.017;1076.410;25.516;70.324;0.000;25.516;263.528;2.991;-0.009;-0.004;1076.410;25.329;70.188;0.000;25.329;
26/08/26 01:44;0.000;0.000;2.946;-0.005;0.023;1076.410;25.39;70.324;0.000;25.39;263.528;1.91;-0.009;0.031;1076.410;25.57;70.188;0.000;25.57;
26/08/26 01:45;0.000;0.000;2.407;-0.039;-0.005;1076.410;25.531;70.324;0.000;25.531;263.528;2.384;-0.016;0.045;1076.410;25.294;70.188;0.000;25.294;
26/08/26 01:46;0.000;0.000;2.814;0.041;0.025;1076.410;25.613;70.324;0.000;25.613;263.528;3.26;-0.037;-0.028;1076.410;25.5;70.188;0.000;25.5;
26/08/26 01:47;0.000;0.000;2.09;0.035;-0.037;1076.410;25.525;70.324;0.000;25.525;263.528;2.767;-0.007;0.018;1076.410;25.459;70.188;0.000;25.459;
26/08/26 01:48;0.000;0.000;2.666;0.012;-0.042;1076.410;25.383;70.324;0.000;25.383;263.528;0.961;0.043;-0.049;1076.410;25.485;70.188;0.000;25.485;
